Protein FDR Confidence Combined	Master	Accession	Description	% Coverage	# Peptides	# PSMs	# Unique Peptides	MW in kDa	Gene Symbol	Abundance 1161573	Abundance 1161574	Abundance 1161575	Abundance 1161576	Abundance 1161577	Abundance 1161578																																		
High	Master Protein	P08238	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	74	53	1290	20	83.2	HSP90AB1	2.84E+09	2.63E+09	2.74E+09	1.90E+09	1.93E+09	2.12E+09																																		
High	Master Protein	Q14204	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	56	209	1285	208	532.1	DYNC1H1	1.09E+09	8.72E+08	1.10E+09	9.14E+08	9.09E+08	9.42E+08																																		
High	Master Protein	P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	75	42	1278	42	57.9	PKM	6.18E+09	5.13E+09	5.95E+09	5.57E+09	6.24E+09	6.23E+09																																		
High	Master Protein	O75369	Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2	79	140	1263	130	278	FLNB	1.42E+09	1.20E+09	1.36E+09	1.42E+09	1.47E+09	1.52E+09																																		
High	Master Protein	P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	82	26	1256	4	49.6	TUBB	1.61E+09	1.35E+09	1.24E+09	1.04E+09	1.04E+09	1.22E+09																																		
High	Master Protein	P06733	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	75	30	1235	27	47.1	ENO1	3.58E+09	3.24E+09	3.45E+09	2.70E+09	2.71E+09	2.87E+09																																		
High	Master Protein	P68371	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	81	26	1200	1	49.8	TUBB4B	5.96E+09	4.88E+09	6.74E+09	6.18E+09	4.61E+09	4.70E+09																																		
High	Master Protein	P10809	"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2"	76	44	1179	44	61	HSPD1	1.94E+09	1.88E+09	2.08E+09	1.70E+09	1.56E+09	1.66E+09																																		
High	Master Protein	P68104	Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1	72	23	1115	11	50.1	EEF1A1	2.44E+09	1.60E+09	2.36E+09	1.64E+09	1.77E+09	1.87E+09																																		
High	Master Protein	P04792	Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2	90	22	1114	22	22.8	HSPB1	9.94E+09	9.34E+09	9.23E+09	1.04E+10	1.05E+10	1.07E+10																																		
High	Master Protein	P04075	Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2	87	29	1092	23	39.4	ALDOA	5.40E+09	5.16E+09	5.31E+09	3.03E+09	3.00E+09	3.06E+09																																		
High	Master Protein	Q00610	Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5	67	90	1090	90	191.5	CLTC	2.57E+09	1.50E+09	2.73E+09	1.93E+09	2.07E+09	2.20E+09																																		
High	Master Protein	P78527	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3	46	157	1030	157	468.8	PRKDC	8.92E+08	7.14E+08	8.88E+08	7.13E+08	7.08E+08	7.30E+08																																		
High	Master Protein	P13639	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	72	54	1009	53	95.3	EEF2	2.62E+09	1.89E+09	2.90E+09	1.94E+09	1.83E+09	1.83E+09																																		
High	Master Protein	P04350	Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2	75	22	997	1	49.6	TUBB4A	1.17E+07	7.80E+06	1.22E+07	7.34E+06	1.03E+07	1.00E+07																																		
High	Master Protein	Q13885	Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1	63	22	960	4	49.9	TUBB2A	1.35E+07	1.40E+07	1.57E+07	9.20E+06	9.99E+06	1.19E+07																																		
High	Master Protein	Q05639	Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1	72	24	917	12	50.4	EEF1A2	5.66E+09	4.70E+09	5.35E+09	4.56E+09	4.60E+09	4.68E+09																																		
High	Master Protein	P68032	"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1"	48	15	874	3	42	ACTC1	9.69E+08	9.62E+08	9.10E+08	6.35E+08	6.32E+08	6.60E+08																																		
High	Master Protein	P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	59	115	825	96	226.4	MYH9	1.09E+09	9.06E+08	1.04E+09	1.06E+09	1.09E+09	1.11E+09																																		
High	Master Protein	Q13813	"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3"	67	132	795	132	284.4	SPTAN1	4.94E+08	4.09E+08	5.30E+08	5.90E+08	5.12E+08	5.33E+08																																		
High	Master Protein	Q13509	Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2	69	24	741	7	50.4	TUBB3	1.47E+08	8.08E+07	1.77E+08	1.15E+08	1.52E+08	1.61E+08																																		
High	Master Protein	P15924	Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3	54	132	690	132	331.6	DSP	3.39E+08	2.74E+08	3.70E+08	4.85E+08	4.88E+08	5.22E+08																																		
High	Master Protein	P46940	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1	66	82	690	79	189.1	IQGAP1	7.75E+08	6.39E+08	7.73E+08	7.30E+08	7.41E+08	7.78E+08																																		
High	Master Protein	P58107	Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3	67	121	680	114	555.3	EPPK1	2.91E+08	2.10E+08	3.25E+08	5.89E+08	6.16E+08	5.79E+08																																		
High	Master Protein	O43707	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	77	63	664	44	104.8	ACTN4	2.55E+09	1.95E+09	2.62E+09	1.94E+09	2.05E+09	2.08E+09																																		
High	Master Protein	Q7Z6Z7	E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3	42	118	649	118	481.6	HUWE1	2.76E+08	2.16E+08	2.82E+08	2.05E+08	1.95E+08	2.31E+08																																		
High	Master Protein	Q92616	eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=7	51	101	645	101	292.5	GCN1	4.20E+08	3.37E+08	4.67E+08	6.55E+08	6.50E+08	6.56E+08																																		
High	Master Protein	Q01082	"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2"	60	111	620	102	274.4	SPTBN1	2.40E+08	2.01E+08	2.25E+08	2.58E+08	2.47E+08	2.65E+08																																		
High	Master Protein	P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	76	40	611	28	70.9	HSPA8	4.16E+09	4.20E+09	3.93E+09	2.83E+09	3.00E+09	3.10E+09																																		
High	Master Protein	Q14980	Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2	60	104	602	103	238.1	NUMA1	3.45E+08	3.19E+08	3.37E+08	2.38E+08	2.11E+08	2.65E+08																																		
High	Master Protein	P0DMV9	Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1	67	34	571	29	70	HSPA1B	1.92E+09	1.73E+09	1.72E+09	1.25E+09	1.25E+09	1.29E+09																																		
High	Master Protein	P07737	Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2	71	11	552	11	15	PFN1	1.60E+09	1.49E+09	1.59E+09	7.05E+08	7.73E+08	8.24E+08																																		
High	Master Protein	P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	63	23	546	18	37.4	HNRNPA2B1	1.64E+09	1.45E+09	1.64E+09	1.32E+09	1.23E+09	1.36E+09																																		
High	Master Protein	O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2	54	87	546	87	244.4	SNRNP200	3.87E+08	2.48E+08	4.12E+08	2.61E+08	2.75E+08	2.44E+08																																		
High	Master Protein	Q6P2Q9	Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2	50	92	543	92	273.4	PRPF8	3.82E+08	2.81E+08	3.79E+08	2.89E+08	2.58E+08	2.71E+08																																		
High	Master Protein	Q7Z406	Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2	54	93	525	84	227.7	MYH14	2.12E+08	1.74E+08	2.00E+08	3.23E+08	3.28E+08	3.55E+08																																		
High	Master Protein	O60701	UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1	80	31	522	31	55	UGDH	2.77E+09	2.22E+09	3.10E+09	1.62E+09	1.65E+09	1.99E+09																																		
High	Master Protein	P12814	Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	78	60	520	41	103	ACTN1	3.97E+08	3.35E+08	3.69E+08	3.17E+08	3.09E+08	3.25E+08																																		
High	Master Protein	Q9Y490	Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3	56	94	518	85	269.6	TLN1	2.56E+08	2.23E+08	2.66E+08	1.70E+08	1.85E+08	1.73E+08																																		
High	Master Protein	P11413	Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4	83	36	516	36	59.2	G6PD	1.84E+09	1.52E+09	1.85E+09	2.19E+09	1.97E+09	2.20E+09																																		
High	Master Protein	P06576	"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3"	73	26	516	26	56.5	ATP5F1B	1.33E+09	1.05E+09	1.53E+09	1.10E+09	1.00E+09	1.12E+09																																		
High	Master Protein	Q9NZM1	Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1	57	94	512	94	234.6	MYOF	4.06E+08	3.12E+08	3.85E+08	2.89E+08	2.95E+08	3.17E+08																																		
High	Master Protein	P55072	Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4	75	47	501	47	89.3	VCP	1.10E+09	9.12E+08	1.17E+09	7.98E+08	9.09E+08	9.42E+08																																		
High	Master Protein	P42704	"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3"	60	70	461	70	157.8	LRPPRC	4.23E+08	3.36E+08	4.26E+08	3.56E+08	3.03E+08	3.53E+08																																		
High	Master Protein	Q5T4S7	E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1	30	97	452	97	573.5	UBR4	1.09E+08	7.80E+07	1.00E+08	1.05E+08	9.95E+07	1.01E+08																																		
High	Master Protein	P22314	Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3	72	55	448	55	117.8	UBA1	9.43E+08	7.71E+08	9.64E+08	7.95E+08	7.29E+08	8.11E+08																																		
High	Master Protein	Q9BUF5	Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1	65	19	443	8	49.8	TUBB6	2.95E+07	1.74E+07	3.20E+07	2.97E+07	2.32E+07	3.12E+07																																		
High	Master Protein	Q562R1	Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2	40	11	436	5	42	ACTBL2	5.10E+06		6.63E+06	3.68E+06	2.35E+06	5.28E+06																																		
High	Master Protein	P07237	Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3	71	38	433	38	57.1	P4HB	1.29E+09	1.18E+09	1.44E+09	1.33E+09	1.21E+09	1.41E+09																																		
High	Master Protein	P63104	14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1	73	21	432	16	27.7	YWHAZ	2.28E+09	1.30E+09	2.51E+09	2.27E+09	1.98E+09	2.01E+09																																		
High	Master Protein	P29401	Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3	75	36	430	36	67.8	TKT	1.68E+09	1.36E+09	1.80E+09	9.28E+08	1.00E+09	1.02E+09																																		
High	Master Protein	P11021	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	61	36	411	34	72.3	HSPA5	1.37E+09	1.25E+09	1.25E+09	8.42E+08	8.78E+08	8.45E+08																																		
High	Master Protein	P53396	ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3	57	54	410	54	120.8	ACLY	5.05E+08	4.19E+08	5.00E+08	4.34E+08	4.09E+08	4.37E+08																																		
High	Master Protein	P52272	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3	72	41	408	41	77.5	HNRNPM	6.17E+08	5.95E+08	6.57E+08	4.92E+08	4.52E+08	4.86E+08																																		
High	Master Protein	P61978	Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1	68	29	407	29	50.9	HNRNPK	1.34E+09	1.30E+09	1.27E+09	9.51E+08	9.30E+08	9.86E+08																																		
High	Master Protein	P06748	Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	61	18	406	18	32.6	NPM1	1.40E+09	1.22E+09	1.42E+09	1.37E+09	1.18E+09	1.33E+09																																		
High	Master Protein	P49588	"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2"	70	47	404	47	106.7	AARS1	5.28E+08	4.14E+08	5.34E+08	5.05E+08	5.13E+08	5.09E+08																																		
High	Master Protein	P27797	Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1	84	29	402	29	48.1	CALR	8.87E+08	8.33E+08	9.06E+08	7.52E+08	7.49E+08	8.07E+08																																		
High	Master Protein	Q08211	ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4	56	49	399	49	140.9	DHX9	6.46E+08	4.71E+08	6.60E+08	4.67E+08	4.84E+08	4.36E+08																																		
High	Master Protein	Q04637	Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4	42	61	397	55	175.4	EIF4G1	3.58E+08	3.09E+08	3.58E+08	2.72E+08	2.64E+08	2.87E+08																																		
High	Master Protein	P11586	"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=4"	67	46	397	46	101.5	MTHFD1	5.67E+08	5.28E+08	5.48E+08	4.63E+08	4.29E+08	4.66E+08																																		
High	Master Protein	Q14839	Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2	44	69	393	54	217.9	CHD4	2.49E+08	1.87E+08	2.58E+08	1.63E+08	1.56E+08	1.71E+08																																		
High	Master Protein	P62937	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2	69	11	389	11	18	PPIA	2.33E+09	2.22E+09	2.23E+09	2.05E+09	2.21E+09	2.24E+09																																		
High	Master Protein	P55060	Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3	64	48	387	48	110.3	CSE1L	6.25E+08	4.77E+08	6.19E+08	4.03E+08	3.78E+08	3.99E+08																																		
High	Master Protein	P38646	"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2"	68	40	385	40	73.6	HSPA9	9.60E+08	8.39E+08	1.06E+09	7.93E+08	7.31E+08	8.47E+08																																		
High	Master Protein	Q86VP6	Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2	48	45	383	45	136.3	CAND1	6.19E+08	4.52E+08	6.06E+08	5.13E+08	5.11E+08	5.71E+08																																		
High	Master Protein	Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3	76	37	379	37	51.8	FKBP4	1.16E+09	9.79E+08	1.08E+09	6.42E+08	6.70E+08	6.81E+08																																		
High	Master Protein	P07814	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5	58	63	377	62	170.5	EPRS1	2.70E+08	2.29E+08	2.60E+08	2.47E+08	2.41E+08	2.62E+08																																		
High	Master Protein	P12270	Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3	42	75	368	75	267.1	TPR	1.29E+08	1.17E+08	1.25E+08	9.36E+07	9.24E+07	9.28E+07																																		
High	Master Protein	Q13263	Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5	70	37	365	37	88.5	TRIM28	8.70E+08	8.10E+08	8.38E+08	6.00E+08	5.64E+08	5.92E+08																																		
High	Master Protein	P13010	X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3	67	39	364	39	82.7	XRCC5	6.65E+08	4.52E+08	7.67E+08	5.78E+08	4.76E+08	4.90E+08																																		
High	Master Protein	P19338	Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	39	35	364	35	76.6	NCL	1.17E+09	1.08E+09	1.16E+09	1.03E+09	1.03E+09	1.07E+09																																		
High	Master Protein	P78371	T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4	73	31	363	31	57.5	CCT2	6.75E+08	5.39E+08	6.85E+08	4.37E+08	3.81E+08	4.37E+08																																		
High	Master Protein	P31946	14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3	69	17	362	9	28.1	YWHAB	1.58E+08	1.30E+08	2.05E+08	1.32E+08	1.85E+08	1.41E+08																																		
High	Master Protein	P00338	L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2	81	27	361	25	36.7	LDHA	1.25E+09	8.08E+08	1.32E+09	9.85E+08	1.10E+09	1.16E+09																																		
High	Master Protein	P35580	Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3	43	69	351	52	228.9	MYH10	1.03E+08	8.40E+07	9.76E+07	4.80E+07	5.44E+07	5.15E+07																																		
High	Master Protein	P27708	CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3	50	68	348	68	242.8	CAD	2.07E+08	1.58E+08	2.30E+08	1.90E+08	1.81E+08	1.97E+08																																		
High	Master Protein	P06744	Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4	62	28	348	28	63.1	GPI	8.93E+08	7.70E+08	8.70E+08	7.36E+08	7.19E+08	7.80E+08																																		
High	Master Protein	Q14697	Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3	69	48	347	48	106.8	GANAB	7.06E+08	5.42E+08	7.47E+08	5.30E+08	5.01E+08	5.37E+08																																		
High	Master Protein	P31948	Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1	71	46	346	46	62.6	STIP1	6.77E+08	6.62E+08	6.46E+08	5.07E+08	5.22E+08	5.56E+08																																		
High	Master Protein	P14625	Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	63	51	345	49	92.4	HSP90B1	9.10E+08	8.25E+08	8.80E+08	6.27E+08	5.98E+08	6.29E+08																																		
High	Master Protein	P35241	Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1	65	38	345	25	68.5	RDX	5.75E+08	4.72E+08	5.65E+08	6.57E+08	6.73E+08	6.48E+08																																		
High	Master Protein	P00558	Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3	75	28	344	28	44.6	PGK1	1.62E+09	1.47E+09	1.62E+09	1.34E+09	1.44E+09	1.47E+09																																		
High	Master Protein	P48643	T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1	75	37	343	36	59.6	CCT5	4.31E+08	3.09E+08	4.26E+08	2.65E+08	2.53E+08	3.02E+08																																		
High	Master Protein	Q9P2E9	Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5	63	64	340	64	152.4	RRBP1	1.42E+08	1.26E+08	1.34E+08	1.36E+08	1.42E+08	1.53E+08																																		
High	Master Protein	P12956	X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2	59	31	332	31	69.8	XRCC6	5.67E+08	4.35E+08	5.63E+08	4.51E+08	4.02E+08	4.20E+08																																		
High	Master Protein	P33176	Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1	58	49	328	41	109.6	KIF5B	2.36E+08	1.86E+08	2.63E+08	1.41E+08	1.36E+08	1.43E+08																																		
High	Master Protein	P27348	14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1	66	17	326	11	27.7	YWHAQ	1.46E+08	1.11E+08	1.85E+08	1.04E+08	1.41E+08	1.26E+08																																		
High	Master Protein	P02545	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	72	49	323	47	74.1	LMNA	7.86E+08	7.87E+08	7.53E+08	8.10E+08	8.35E+08	8.63E+08																																		
High	Master Protein	P31939	Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3	83	36	323	36	64.6	ATIC	5.81E+08	4.69E+08	5.96E+08	5.22E+08	6.00E+08	6.06E+08																																		
High	Master Protein	P20700	Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2	69	41	322	37	66.4	LMNB1	4.67E+08	4.26E+08	4.82E+08	4.18E+08	3.82E+08	4.09E+08																																		
High	Master Protein	P34932	Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4	68	46	322	43	94.3	HSPA4	3.05E+08	2.68E+08	3.30E+08	2.32E+08	2.47E+08	2.53E+08																																		
High	Master Protein	P53621	Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2	62	57	322	57	138.3	COPA	3.76E+08	3.04E+08	3.77E+08	2.58E+08	2.61E+08	2.73E+08																																		
High	Master Protein	P35221	Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1	62	41	321	33	100	CTNNA1	2.73E+08	1.68E+08	2.69E+08	1.99E+08	1.96E+08	2.09E+08																																		
High	Master Protein	P07384	Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1	65	36	318	36	81.8	CAPN1	4.25E+08	3.06E+08	4.24E+08	3.61E+08	3.47E+08	3.76E+08																																		
High	Master Protein	P62258	14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1	71	19	318	16	29.2	YWHAE	2.74E+08	2.75E+08	3.62E+08	1.16E+08	2.03E+08	1.81E+08																																		
High	Master Protein	O75533	Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3	59	55	317	55	145.7	SF3B1	2.46E+08	2.20E+08	2.73E+08	1.93E+08	1.78E+08	1.87E+08																																		
High	Master Protein	O14980	Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1	54	42	317	42	123.3	XPO1	2.58E+08	1.63E+08	2.82E+08	1.84E+08	2.09E+08	2.03E+08																																		
High	Master Protein	P60842	Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1	76	25	315	15	46.1	EIF4A1	9.53E+08	9.95E+08	1.03E+09	6.20E+08	5.99E+08	6.09E+08																																		
High	Master Protein	P18206	Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4	62	57	311	57	123.7	VCL	2.25E+08	2.01E+08	2.21E+08	1.89E+08	1.73E+08	1.71E+08																																		
